data;ora solare;valore;tipo
15/03/2016;21:10;0.35;min
16/03/2016;01:35;0.58;max
16/03/2016;11:05;0.13;min
16/03/2016;19:10;0.50;max
17/03/2016;01:45;0.28;min
17/03/2016;07:00;0.40;max
17/03/2016;13:30;0.06;min
17/03/2016;19:45;0.45;max
18/03/2016;02:30;0.12;min
18/03/2016;08:25;0.49;max
18/03/2016;14:25;-0.07;min
18/03/2016;20:45;0.52;max
19/03/2016;02:25;0.07;min
19/03/2016;08:10;0.53;max
19/03/2016;14:55;-0.20;min
19/03/2016;21:25;0.56;max
20/03/2016;02:50;0.05;min
20/03/2016;08:45;0.55;max
20/03/2016;15:15;-0.20;min
20/03/2016;22:15;0.64;max
21/03/2016;04:00;0.05;min
21/03/2016;09:40;0.57;max
21/03/2016;16:05;-0.15;min
21/03/2016;22:05;0.74;max
22/03/2016;04:35;-0.07;min
22/03/2016;10:05;0.58;max
22/03/2016;16:05;-0.10;min
22/03/2016;22:00;0.71;max
23/03/2016;04:20;-0.02;min
23/03/2016;10:50;0.80;max
23/03/2016;18:25;0.10;min
23/03/2016;23:50;0.81;max
24/03/2016;05:20;0.01;min
24/03/2016;11:15;0.77;max
24/03/2016;17:30;-0.14;min
24/03/2016;23:50;0.76;max
25/03/2016;05:40;0.03;min
25/03/2016;11:15;0.63;max
25/03/2016;17:30;-0.10;min
25/03/2016;23:50;0.76;max
26/03/2016;06:00;0.04;min
26/03/2016;11:25;0.51;max
26/03/2016;17:25;-0.03;min
27/03/2016;00:10;0.72;max
27/03/2016;07:20;-0.08;min
27/03/2016;12:45;0.42;max
27/03/2016;17:50;0.10;min
28/03/2016;00:25;0.73;max
28/03/2016;07:10;-0.07;min
28/03/2016;13:40;0.46;max
28/03/2016;17:45;0.29;min
29/03/2016;00:10;0.72;max
29/03/2016;07:35;-0.08;min
29/03/2016;14:30;0.46;max
29/03/2016;18:10;0.37;min
29/03/2016;23:40;0.58;max
30/03/2016;08:15;-0.01;min
30/03/2016;17:35;0.50;max
30/03/2016;23:15;0.37;min
31/03/2016;01:25;0.41;max
31/03/2016;08:45;0.10;min
31/03/2016;17:40;0.53;max
31/03/2016;23:25;0.30;min
01/04/2016;05:15;0.42;max
01/04/2016;11:40;0.18;min
01/04/2016;17:40;0.42;max
02/04/2016;01:40;0.08;min
02/04/2016;06:55;0.34;max
02/04/2016;14:50;-0.06;min
02/04/2016;20:05;0.37;max
03/04/2016;01:30;-0.05;min
03/04/2016;07:55;0.49;max
03/04/2016;14:10;-0.20;min
03/04/2016;21:15;0.43;max
04/04/2016;02:40;0.02;min
04/04/2016;08:20;0.55;max
04/04/2016;15:05;-0.28;min
04/04/2016;21:40;0.61;max
05/04/2016;03:35;-0.10;min
05/04/2016;08:55;0.52;max
05/04/2016;15:10;-0.30;min
05/04/2016;22:15;0.70;max
06/04/2016;04:30;-0.20;min
06/04/2016;10:05;0.51;max
06/04/2016;15:55;-0.24;min
06/04/2016;22:40;0.77;max
07/04/2016;05:10;-0.26;min
07/04/2016;10:40;0.58;max
07/04/2016;16:30;-0.12;min
07/04/2016;23:00;0.81;max
08/04/2016;05:35;-0.25;min
08/04/2016;11:50;0.72;max
08/04/2016;17:15;0.03;min
