Data;Ora solare;Valore;Tipo
24/03/2011;06:55;-28; min
24/03/2011;13:15;15; max
24/03/2011;18:25;-5; min
25/03/2011;01:10;38; max
25/03/2011;08:40;-15; min
26/03/2011;01:30;43; max
26/03/2011;10:30;-14; min
26/03/2011;21:25;40; max
27/03/2011;11:20;-14; min
27/03/2011;20:30;49; max
28/03/2011;02:50;20; min
28/03/2011;05:15;23; max
28/03/2011;13:00;-2; min
28/03/2011;20:45;58; max
29/03/2011;03:25;0; min
29/03/2011;08:20;31; max
29/03/2011;14:00;-10; min
29/03/2011;21:10;52; max
30/03/2011;03:05;-7; min
30/03/2011;08:45;43; max
30/03/2011;14:45;-15; min
30/03/2011;21:10;51; max
31/03/2011;03:30;-11; min
31/03/2011;08:50;40; max
31/03/2011;15:15;-27; min
31/03/2011;21:55;47; max
01/04/2011;03:35;-16; min
01/04/2011;09:25;40; max
01/04/2011;15:45;-31; min
01/04/2011;22:10;49; max
02/04/2011;04:25;-22; min
02/04/2011;09:55;37; max
02/04/2011;15:55;-31; min
02/04/2011;22:55;59; max
03/04/2011;05:00;-23; min
03/04/2011;10:45;40; max
03/04/2011;16:10;-22; min
03/04/2011;22:45;68; max
04/04/2011;05:30;-26; min
04/04/2011;11:15;44; max
04/04/2011;16:20;-8; min
04/04/2011;22:40;68; max
05/04/2011;05:40;-25; min
05/04/2011;11:40;36; max
05/04/2011;16:30;-6; min
05/04/2011;23:20;59; max
06/04/2011;06:15;-39; min
06/04/2011;12:45;32; max
06/04/2011;17:35;-12; min
06/04/2011;23:25;42; max
07/04/2011;06:20;-34; min
07/04/2011;13:00;35; max
07/04/2011;17:55;-8; min
08/04/2011;00:15;51; max
08/04/2011;06:45;-12; min
08/04/2011;13:20;31; max
08/04/2011;18:15;0; min
09/04/2011;00:35;56; max
09/04/2011;08:25;-12; min
09/04/2011;14:20;27; max
09/04/2011;18:40;14; min
10/04/2011;00:50;55; max
10/04/2011;09:20;-12; min
11/04/2011;00:40;37; max
11/04/2011;10:15;-18; min
11/04/2011;19:20;37; max
12/04/2011;00:40;23; min
12/04/2011;05:20;32; max
12/04/2011;12:00;-9; min
12/04/2011;19:40;62; max
13/04/2011;00:50;18; min
13/04/2011;03:10;53; max
13/04/2011;13:20;-23; min
13/04/2011;19:55;67; max
14/04/2011;03:10;-5; min
14/04/2011;08:30;35; max
14/04/2011;14:00;-21; min
14/04/2011;20:40;67; max
15/04/2011;03:05;-15; min
15/04/2011;08:55;41; max
15/04/2011;14:45;-16; min
15/04/2011;21:10;68; max
16/04/2011;03:55;-28; min
16/04/2011;10:10;48; max
16/04/2011;15:30;-10; min
16/04/2011;21:45;73; max
17/04/2011;04:25;-34; min
17/04/2011;10:55;56; max
17/04/2011;16:20;-12; min
17/04/2011;22:15;65; max
18/04/2011;04:45;-40; min
18/04/2011;11:10;55; max
18/04/2011;16:45;-15; min
18/04/2011;22:40;63; max
19/04/2011;05:30;-32; min
19/04/2011;11:45;47; max
19/04/2011;17:15;-9; min
19/04/2011;23:15;65; max
20/04/2011;06:05;-30; min
20/04/2011;12:30;37; max
20/04/2011;17:20;2; min
20/04/2011;23:55;69; max
21/04/2011;06:50;-30; min
21/04/2011;14:15;36; max
21/04/2011;18:15;15; min
22/04/2011;00:00;64; max
22/04/2011;07:40;-28; min
22/04/2011;15:10;40; max
22/04/2011;18:30;28; min
23/04/2011;00:00;54; max
23/04/2011;07:50;-16; min
23/04/2011;16:40;49; max
23/04/2011;21:25;32; min
24/04/2011;01:25;40; max
24/04/2011;08:20;-9; min
24/04/2011;16:20;50; max
25/04/2011;08:55;0; min
25/04/2011;18:45;43; max
26/04/2011;01:20;11; min
26/04/2011;05:25;25; max
26/04/2011;11:20;11; min
26/04/2011;19:20;49; max
27/04/2011;02:20;8; min
27/04/2011;07:25;37; max
27/04/2011;13:00;7; min
27/04/2011;20:25;64; max
28/04/2011;03:05;4; min
28/04/2011;08:25;44; max
28/04/2011;13:30;5; min
28/04/2011;20:30;74; max
29/04/2011;03:10;3; min
29/04/2011;08:45;50; max
29/04/2011;14:15;7; min
