data;ora solare;valore;tipo;;
28/02/2013;05:55;-0.21;min;;
28/02/2013;12:05;0.59;max;;
28/02/2013;18:35;-0.30;min;;
01/03/2013;00:40;0.49;max;;
01/03/2013;06:15;-0.16;min;;
01/03/2013;12:10;0.39;max;;
01/03/2013;18:40;-0.28;min;;
02/03/2013;01:20;0.55;max;;
02/03/2013;07:15;-0.12;min;;
02/03/2013;12:25;0.31;max;;
02/03/2013;18:25;-0.10;min;;
03/03/2013;01:35;0.57;max;;
03/03/2013;08:40;-0.20;min;;
03/03/2013;13:55;0.15;max;;
03/03/2013;18:15;0.02;min;;
04/03/2013;01:55;0.54;max;;
04/03/2013;09:15;-0.17;min;;
05/03/2013;02:00;0.42;max;;
05/03/2013;10:50;-0.15;min;;
05/03/2013;21:45;0.43;max;;
06/03/2013;03:05;0.30;min;;
06/03/2013;06:20;0.37;max;;
06/03/2013;12:20;-0.05;min;;
06/03/2013;21:00;0.84;max;;
07/03/2013;04:15;0.37;min;;
07/03/2013;08:15;0.58;max;;
07/03/2013;14:00;0.12;min;;
07/03/2013;20:55;0.80;max;;
08/03/2013;03:00;0.16;min;;
08/03/2013;08:40;0.67;max;;
08/03/2013;15:00;0.01;min;;
08/03/2013;21:20;0.77;max;;
09/03/2013;03:10;0.21;min;;
09/03/2013;08:55;0.79;max;;
09/03/2013;15:45;-0.02;min;;
09/03/2013;22:30;0.83;max;;
10/03/2013;04:10;0.27;min;;
10/03/2013;09:35;0.84;max;;
10/03/2013;16:25;-0.09;min;;
10/03/2013;23:10;0.89;max;;
11/03/2013;05:00;0.18;min;;
11/03/2013;10:10;0.75;max;;
11/03/2013;16:40;-0.12;min;;
11/03/2013;23:15;1.00;max;;
12/03/2013;05:40;0.13;min;;
12/03/2013;10:50;0.76;max;;
12/03/2013;16:40;0.05;min;;
12/03/2013;23:35;1.02;max;;
13/03/2013;06:00;0.14;min;;
13/03/2013;11:30;0.79;max;;
13/03/2013;17:05;0.16;min;;
13/03/2013;23:50;0.99;max;;
14/03/2013;06:15;0.27;min;;
14/03/2013;12:00;0.83;max;;
14/03/2013;17:45;0.24;min;;
14/03/2013;23:55;0.99;max;;
15/03/2013;06:45;0.30;min;;
15/03/2013;12:35;0.86;max;;
15/03/2013;18:35;0.24;min;;
16/03/2013;01:10;0.91;max;;
16/03/2013;07:25;0.22;min;;
16/03/2013;12:45;0.69;max;;
16/03/2013;18:40;0.11;min;;
17/03/2013;01:10;0.83;max;;
17/03/2013;07:05;0.32;min;;
17/03/2013;12:30;0.55;max;;
17/03/2013;17:50;0.33;min;;
18/03/2013;02:05;0.97;max;;
18/03/2013;09:40;0.74;min;;
18/03/2013;13:35;1.03;max;;
18/03/2013;19:15;0.75;min;;
18/03/2013;23:55;0.93;max;;
19/03/2013;10:25;0.23;min;;
19/03/2013;18:05;0.66;max;;
19/03/2013;22:05;0.56;min;;
20/03/2013;02:50;0.71;max;;
20/03/2013;10:30;0.25;min;;
20/03/2013;18:25;0.62;max;;
21/03/2013;12:30;0.12;min;;
21/03/2013;21:20;0.61;max;;
22/03/2013;03:25;0.38;min;;
22/03/2013;08:10;0.57;max;;
22/03/2013;14:15;0.02;min;;
22/03/2013;21:25;0.70;max;;
23/03/2013;03:00;0.27;min;;
23/03/2013;08:15;0.65;max;;
23/03/2013;14:40;0.05;min;;
23/03/2013;21:00;0.84;max;;
24/03/2013;03:20;0.21;min;;
24/03/2013;09:20;0.76;max;;
24/03/2013;15:10;0.15;min;;
24/03/2013;21:45;0.98;max;;
25/03/2013;04:00;0.21;min;;
25/03/2013;09:45;0.94;max;;
25/03/2013;15:35;0.27;min;;
25/03/2013;21:35;0.97;max;;
26/03/2013;03:45;0.12;min;;
26/03/2013;10:30;0.94;max;;
26/03/2013;16:45;0.21;min;;
26/03/2013;22:25;0.81;max;;
27/03/2013;04:30;0.15;min;;
27/03/2013;11:00;0.94;max;;
27/03/2013;17:25;0.04;min;;
27/03/2013;23:30;0.87;max;;
28/03/2013;05:20;0.10;min;;
28/03/2013;11:15;0.84;max;;
28/03/2013;17:25;0.03;min;;
28/03/2013;23:55;1.03;max;;
29/03/2013;06:20;0.13;min;;
29/03/2013;11:55;0.76;max;;
29/03/2013;17:15;0.14;min;;
30/03/2013;00:10;1.07;max;;
30/03/2013;06:55;0.10;min;;
30/03/2013;12:40;0.64;max;;
30/03/2013;16:40;0.42;min;;
31/03/2013;00:10;1.25;max;;
31/03/2013;08:05;0.12;min;;
31/03/2013;13:45;0.65;max;;
31/03/2013;17:10;0.53;min;;
01/04/2013;00:05;0.97;max;;
01/04/2013;08:15;0.09;min;;
01/04/2013;15:55;0.76;max;;
01/04/2013;20:35;0.60;min;;
02/04/2013;01:30;0.75;max;;
02/04/2013;08:25;0.32;min;;
02/04/2013;16:15;0.87;max;;
03/04/2013;01:20;0.54;min;;
03/04/2013;04:45;0.63;max;;
03/04/2013;10:05;0.38;min;;
03/04/2013;17:55;0.71;max;;
03/04/2013;23:25;0.38;min;;
04/04/2013;05:25;0.70;max;;
04/04/2013;13:25;0.29;min;;
04/04/2013;20:05;0.72;max;;
05/04/2013;00:35;0.47;min;;
05/04/2013;08:00;1.01;max;;
05/04/2013;14:15;0.43;min;;
05/04/2013;19:35;0.74;max;;
06/04/2013;02:00;0.32;min;;
06/04/2013;07:55;0.88;max;;
06/04/2013;15:15;0.11;min;;
06/04/2013;21:20;0.76;max;;
07/04/2013;03:00;0.22;min;;
07/04/2013;08:25;0.77;max;;
07/04/2013;14:50;0.07;min;;
07/04/2013;22:05;0.90;max;;
08/04/2013;04:05;0.20;min;;
08/04/2013;09:35;0.72;max;;
08/04/2013;15:30;0.06;min;;
08/04/2013;22:20;1.05;max;;
09/04/2013;04:55;0.13;min;;
09/04/2013;10:20;0.71;max;;
09/04/2013;15:45;0.13;min;;
09/04/2013;22:50;1.01;max;;
10/04/2013;05:25;0.00;min;;
10/04/2013;10:50;0.69;max;;
10/04/2013;16:30;0.11;min;;
10/04/2013;22:40;0.95;max;;
11/04/2013;05:30;-0.11;min;;
11/04/2013;11:30;0.63;max;;
11/04/2013;16:25;0.17;min;;
11/04/2013;22:55;0.89;max;;
12/04/2013;05:35;-0.07;min;;
12/04/2013;12:25;0.76;max;;
12/04/2013;17:20;0.35;min;;
12/04/2013;23:10;0.88;max;;
13/04/2013;06:15;-0.10;min;;
13/04/2013;13:00;0.64;max;;
13/04/2013;17:55;0.24;min;;
13/04/2013;23:20;0.66;max;;
