Data;Ora solare;Valore ;Tipo
2012-06-17;15:05;7; min
2012-06-17;21:05;63; max
2012-06-18;04:20;-34; min
2012-06-18;11:00;45; max
2012-06-18;15:50;9; min
2012-06-18;21:40;67; max
2012-06-19;04:50;-35; min
2012-06-19;11:10;45; max
2012-06-19;16:05;9; min
2012-06-19;22:05;67; max
2012-06-20;05:15;-35; min
2012-06-20;12:00;49; max
2012-06-20;16:25;12; min
2012-06-20;22:50;69; max
2012-06-21;05:50;-29; min
2012-06-21;12:25;58; max
2012-06-21;17:25;23; min
2012-06-21;23:05;73; max
2012-06-22;06:20;-29; min
2012-06-22;13:10;55; max
2012-06-22;18:30;18; min
2012-06-22;23:25;65; max
2012-06-23;06:55;-24; min
2012-06-23;13:55;64; max
2012-06-23;18:45;19; min
2012-06-24;00:05;58; max
2012-06-24;07:05;-25; min
2012-06-24;14:25;60; max
2012-06-24;19:55;20; min
2012-06-25;00:55;51; max
2012-06-25;07:10;-12; min
2012-06-25;15:20;67; max
2012-06-25;20:50;27; min
2012-06-26;01:00;42; max
2012-06-26;08:35;-4; min
2012-06-26;16:20;64; max
2012-06-26;23:20;11; min
2012-06-27;04:05;22; max
2012-06-27;09:10;2; min
2012-06-27;16:40;66; max
2012-06-28;00:05;-2; min
2012-06-28;06:10;24; max
2012-06-28;10:30;17; min
2012-06-28;17:05;68; max
2012-06-29;01:15;-8; min
2012-06-29;08:10;38; max
2012-06-29;12:00;23; min
2012-06-29;18:50;70; max
2012-06-30;02:30;-16; min
2012-06-30;09:10;47; max
2012-06-30;13:35;22; min
2012-06-30;19:35;72; max
2012-07-01;03:25;-23; min
2012-07-01;10:15;55; max
2012-07-01;14:35;21; min
2012-07-01;20:40;78; max
2012-07-02;04:00;-26; min
2012-07-02;10:40;59; max
2012-07-02;15:05;27; min
2012-07-02;21:20;87; max
2012-07-03;04:50;-25; min
2012-07-03;11:40;61; max
2012-07-03;16:15;23; min
2012-07-03;22:00;83; max
2012-07-04;05:20;-34; min
2012-07-04;12:10;63; max
2012-07-04;17:00;18; min
2012-07-04;22:55;79; max
2012-07-05;05:55;-33; min
2012-07-05;12:40;65; max
2012-07-05;17:50;19; min
2012-07-05;23:20;74; max
2012-07-06;06:20;-27; min
2012-07-06;13:15;72; max
2012-07-06;18:40;18; min
2012-07-06;23:50;69; max
2012-07-07;06:40;-22; min
2012-07-07;14:00;70; max
2012-07-07;19:40;20; min
2012-07-08;00:30;54; max
2012-07-08;07:00;-16; min
2012-07-08;14:35;67; max
2012-07-08;20:20;20; min
2012-07-09;01:05;49; max
2012-07-09;07:05;-5; min
2012-07-09;15:15;66; max
2012-07-09;21:20;26; min
2012-07-10;01:30;44; max
2012-07-10;07:55;3; min
2012-07-10;16:05;67; max
2012-07-10;22:40;26; min
2012-07-11;02:50;36; max
2012-07-11;07:20;8; min
2012-07-11;17:05;68; max
2012-07-11;23:55;23; min
2012-07-12;01:30;29; max
2012-07-12;03:30;15; min
2012-07-12;05:45;28; max
2012-07-12;07:40;21; min
2012-07-12;18:10;64; max
2012-07-13;02:05;4; min
2012-07-13;08:35;43; max
2012-07-13;11:25;35; min
2012-07-13;19:00;77; max
2012-07-14;02:55;-9; min
2012-07-14;09:55;46; max
2012-07-14;13:00;36; min
2012-07-14;19:00;80; max
2012-07-15;03:05;-11; min
2012-07-15;10:10;53; max
2012-07-15;14:25;33; min
2012-07-15;20:20;68; max
2012-07-16;03:55;-20; min
2012-07-16;10:50;56; max
2012-07-16;15:25;15; min
2012-07-16;21:15;59; max
2012-07-17;03:55;-33; min
2012-07-17;10:40;56; max
2012-07-17;15:35;8; min
2012-07-17;21:10;54; max
2012-07-18;04:05;-36; min
