data;ora solare;valore;tipo;
14/03/2014;09:15;0.48;max;
14/03/2014;15:55;-0.30;min;
14/03/2014;22:20;0.52;max;
15/03/2014;04:10;-0.11;min;
15/03/2014;10:05;0.48;max;
15/03/2014;16:15;-0.27;min;
15/03/2014;22:35;0.64;max;
16/03/2014;04:55;-0.15;min;
16/03/2014;10:40;0.46;max;
16/03/2014;16:45;-0.26;min;
16/03/2014;23:00;0.62;max;
17/03/2014;05:25;-0.22;min;
17/03/2014;11:05;0.49;max;
17/03/2014;17:05;-0.24;min;
17/03/2014;23:20;0.65;max;
18/03/2014;05:40;-0.21;min;
18/03/2014;11:40;0.48;max;
18/03/2014;17:15;-0.16;min;
18/03/2014;23:40;0.66;max;
19/03/2014;06:15;-0.19;min;
19/03/2014;12:00;0.46;max;
19/03/2014;17:55;-0.15;min;
20/03/2014;00:05;0.58;max;
20/03/2014;06:50;-0.32;min;
20/03/2014;12:50;0.36;max;
20/03/2014;18:20;-0.12;min;
21/03/2014;00:35;0.53;max;
21/03/2014;07:05;-0.22;min;
21/03/2014;13:20;0.35;max;
21/03/2014;18:25;0.02;min;
22/03/2014;00:55;0.55;max;
22/03/2014;07:30;-0.08;min;
22/03/2014;14:45;0.35;max;
22/03/2014;18:05;0.23;min;
23/03/2014;01:15;0.59;max;
23/03/2014;08:30;0.17;min;
23/03/2014;16:30;0.66;max;
23/03/2014;18:15;0.49;min;
23/03/2014;19:50;0.54;max;
23/03/2014;23:10;0.38;min;
24/03/2014;02:20;0.51;max;
24/03/2014;09:15;0.00;min;
24/03/2014;16:50;0.51;max;
25/03/2014;00:40;0.23;min;
25/03/2014;07:30;0.37;max;
25/03/2014;13:15;0.15;min;
25/03/2014;19:45;0.56;max;
26/03/2014;01:55;0.17;min;
26/03/2014;08:05;0.64;max;
26/03/2014;14:40;0.04;min;
26/03/2014;20:35;0.62;max;
27/03/2014;02:10;0.07;min;
27/03/2014;09:00;0.77;max;
27/03/2014;14:40;0.12;min;
27/03/2014;20:35;0.81;max;
28/03/2014;03:20;0.05;min;
28/03/2014;09:15;0.72;max;
28/03/2014;15:40;-0.09;min;
28/03/2014;21:55;0.64;max;
29/03/2014;04:00;-0.16;min;
29/03/2014;09:55;0.61;max;
29/03/2014;15:55;-0.23;min;
29/03/2014;22:20;0.63;max;
30/03/2014;04:40;-0.21;min;
30/03/2014;10:20;0.60;max;
30/03/2014;16:05;-0.19;min;
30/03/2014;22:55;0.69;max;
31/03/2014;05:15;-0.15;min;
31/03/2014;11:10;0.56;max;
31/03/2014;17:00;-0.13;min;
31/03/2014;23:35;0.77;max;
01/04/2014;06:05;-0.19;min;
01/04/2014;11:55;0.56;max;
01/04/2014;17:10;-0.05;min;
01/04/2014;23:35;0.79;max;
02/04/2014;06:40;-0.19;min;
02/04/2014;12:30;0.52;max;
02/04/2014;17:40;0.03;min;
02/04/2014;23:45;0.78;max;
03/04/2014;06:55;-0.15;min;
03/04/2014;13:10;0.52;max;
03/04/2014;18:05;0.22;min;
04/04/2014;00:05;0.73;max;
04/04/2014;06:50;0.03;min;
04/04/2014;13:55;0.79;max;
04/04/2014;20:30;0.49;min;
04/04/2014;23:55;0.58;max;
05/04/2014;08:20;0.07;min;
05/04/2014;14:40;0.75;max;
05/04/2014;20:45;0.31;min;
06/04/2014;00:20;0.38;max;
06/04/2014;06:50;0.14;min;
06/04/2014;14:45;0.53;max;
06/04/2014;21:25;0.27;min;
07/04/2014;02:50;0.41;max;
07/04/2014;11:15;0.23;min;
07/04/2014;18:00;0.40;max;
07/04/2014;21:55;0.34;min;
08/04/2014;05:50;0.54;max;
08/04/2014;13:15;0.10;min;
08/04/2014;20:35;0.56;max;
09/04/2014;02:25;0.42;min;
09/04/2014;06:55;0.53;max;
09/04/2014;13:45;0.03;min;
09/04/2014;20:40;0.65;max;
10/04/2014;02:45;0.18;min;
10/04/2014;07:45;0.38;max;
10/04/2014;13:25;-0.07;min;
10/04/2014;20:30;0.71;max;
11/04/2014;03:20;0.04;min;
11/04/2014;08:40;0.55;max;
11/04/2014;14:35;0.01;min;
11/04/2014;20:45;0.69;max;
12/04/2014;03:25;-0.09;min;
12/04/2014;09:30;0.56;max;
12/04/2014;15:05;0.02;min;
12/04/2014;21:15;0.69;max;
13/04/2014;04:05;-0.11;min;
13/04/2014;10:00;0.57;max;
13/04/2014;15:50;-0.08;min;
13/04/2014;21:45;0.66;max;
14/04/2014;04:20;-0.21;min;
14/04/2014;10:45;0.57;max;
14/04/2014;16:05;-0.01;min;
14/04/2014;22:30;0.84;max;
15/04/2014;04:40;-0.04;min;
15/04/2014;10:15;0.64;max;
15/04/2014;16:20;-0.04;min;
15/04/2014;22:30;0.79;max;
16/04/2014;05:40;-0.26;min;
16/04/2014;11:15;0.38;max;
16/04/2014;16:50;-0.12;min;
16/04/2014;23:30;0.66;max;
17/04/2014;06:10;-0.35;min;
17/04/2014;12:35;0.34;max;
17/04/2014;17:00;0.05;min;
17/04/2014;23:35;0.76;max;
18/04/2014;06:50;-0.29;min;
18/04/2014;13:40;0.46;max;
18/04/2014;17:45;0.20;min;
19/04/2014;00:15;0.83;max;
19/04/2014;07:35;-0.17;min;
19/04/2014;14:30;0.57;max;
19/04/2014;18:55;0.38;min;
20/04/2014;00:25;0.78;max;
20/04/2014;08:00;-0.07;min;
20/04/2014;15:55;0.66;max;
20/04/2014;20:30;0.44;min;
21/04/2014;00:55;0.63;max;
21/04/2014;08:00;0.09;min;
21/04/2014;16:35;0.80;max;
22/04/2014;09:35;0.10;min;
22/04/2014;17:50;0.69;max;
23/04/2014;00:30;0.22;min;
23/04/2014;05:10;0.36;max;
23/04/2014;11:30;0.13;min;
23/04/2014;19:35;0.70;max;
24/04/2014;01:25;0.12;min;
24/04/2014;07:00;0.56;max;
24/04/2014;13:20;-0.06;min;
24/04/2014;19:55;0.70;max;
25/04/2014;02:05;0.10;min;
25/04/2014;07:40;0.60;max;
25/04/2014;13:35;0.02;min;
25/04/2014;20:45;0.83;max;
26/04/2014;03:15;0.10;min;
26/04/2014;08:40;0.62;max;
26/04/2014;14:25;0.12;min;
26/04/2014;21:25;0.92;max;
27/04/2014;04:10;0.02;min;
27/04/2014;10:15;0.75;max;
27/04/2014;15:10;0.27;min;
27/04/2014;21:45;1.00;max;
28/04/2014;04:40;-0.06;min;
28/04/2014;10:55;0.79;max;
