Data;Ora solare;Valore;Tipo;;
2009-05-12;12:50;45;max;;
2009-05-12;17:30;26;min;;
2009-05-12;23:10;62;max;;
2009-05-13;06:20;-21;min;;
2009-05-13;14:55;47;max;;
2009-05-13;18:45;33;min;;
2009-05-14;00:05;52;max;;
2009-05-14;06:35;-11;min;;
2009-05-14;15:25;55;max;;
2009-05-14;20:25;35;min;;
2009-05-15;00:25;48;max;;
2009-05-15;07:20;-3;min;;
2009-05-15;15:35;58;max;;
2009-05-16;07:45;2;min;;
2009-05-16;16:40;54;max;;
2009-05-17;00:50;20;min;;
2009-05-17;03:25;24;max;;
2009-05-17;10:00;-1;min;;
2009-05-17;18:00;51;max;;
2009-05-18;01:05;16;min;;
2009-05-18;05:55;25;max;;
2009-05-18;11:50;5;min;;
2009-05-18;18:40;55;max;;
2009-05-19;02:05;9;min;;
2009-05-19;07:30;31;max;;
2009-05-19;12:45;-6;min;;
2009-05-19;19:40;64;max;;
2009-05-20;02:50;-7;min;;
2009-05-20;07:30;33;max;;
2009-05-20;13:20;-10;min;;
2009-05-20;20:15;67;max;;
2009-05-21;03:05;-19;min;;
2009-05-21;08:40;32;max;;
2009-05-21;13:30;-4;min;;
2009-05-21;20:40;77;max;;
2009-05-22;03:40;-24;min;;
2009-05-22;09:30;44;max;;
2009-05-22;14:10;11;min;;
2009-05-22;20:45;82;max;;
2009-05-23;04:15;-31;min;;
2009-05-23;10:35;48;max;;
2009-05-23;14:55;18;min;;
2009-05-23;21:25;81;max;;
2009-05-24;04:50;-37;min;;
2009-05-24;11:35;52;max;;
2009-05-24;15:55;19;min;;
2009-05-24;22:10;71;max;;
2009-05-25;05:35;-42;min;;
2009-05-25;12:20;54;max;;
2009-05-25;16:40;19;min;;
2009-05-25;22:45;75;max;;
2009-05-26;06:00;-38;min;;
2009-05-26;13:00;60;max;;
2009-05-26;17:55;26;min;;
2009-05-26;23:15;79;max;;
2009-05-27;06:30;-26;min;;
2009-05-27;14:35;58;max;;
2009-05-27;17:40;28;min;;
2009-05-27;23:45;73;max;;
2009-05-28;07:25;-21;min;;
2009-05-28;14:55;53;max;;
2009-05-28;19:45;21;min;;
2009-05-29;00:45;44;max;;
2009-05-29;07:35;-19;min;;
2009-05-29;15:35;69;max;;
2009-05-29;22:25;21;min;;
2009-05-30;00:45;32;max;;
2009-05-30;08:55;-25;min;;
2009-05-30;16:50;61;max;;
2009-05-30;22:20;24;min;;
2009-05-31;00:00;27;max;;
2009-05-31;09:30;-4;min;;
2009-05-31;17:15;65;max;;
2009-06-01;01:15;3;min;;
2009-06-01;07:30;11;max;;
2009-06-01;10:55;7;min;;
2009-06-01;18:35;70;max;;
