Data;Ora;Valore;Tipo;ID staz
1998-04-29;6:25;-22;min;00251
1998-04-29;13:10;59;max;00251
1998-04-29;18:25;14;min;00251
1998-04-30;0:05;61;max;00251
1998-04-30;7:15;-18;min;00251
1998-04-30;14:25;64;max;00251
1998-04-30;19:10;30;min;00251
1998-05-01;0:50;71;max;00251
1998-05-01;8:00;-8;min;00251
1998-05-01;15:15;48;max;00251
1998-05-01;19:40;25;min;00251
1998-05-02;0:55;54;max;00251
1998-05-02;8:05;-7;min;00251
1998-05-02;18:10;39;max;00251
1998-05-03;11:20;-5;min;00251
1998-05-03;19:50;51;max;00251
1998-05-04;2:10;17;min;00251
1998-05-04;5:35;48;max;00251
1998-05-04;10:35;14;min;00251
1998-05-04;18:15;75;max;00251
1998-05-05;0:40;24;min;00251
1998-05-05;6:10;40;max;00251
1998-05-05;13:00;24;min;00251
1998-05-05;19:15;70;max;00251
1998-05-06;2:40;14;min;00251
1998-05-06;8:55;50;max;00251
1998-05-06;14:00;9;min;00251
1998-05-06;20:45;64;max;00251
1998-05-07;3:10;-1;min;00251
1998-05-07;8:40;52;max;00251
1998-05-07;14:30;-7;min;00251
1998-05-07;20:35;63;max;00251
1998-05-08;3:10;-10;min;00251
1998-05-08;8:55;39;max;00251
1998-05-08;14:35;-14;min;00251
1998-05-08;21:15;60;max;00251
1998-05-09;3:50;-23;min;00251
1998-05-09;9:30;33;max;00251
1998-05-09;15:15;-16;min;00251
1998-05-09;21:40;62;max;00251
1998-05-10;4:35;-31;min;00251
1998-05-10;10:40;40;max;00251
1998-05-10;15:45;-12;min;00251
1998-05-10;22:05;70;max;00251
1998-05-11;4:55;-33;min;00251
1998-05-11;11:10;42;max;00251
1998-05-11;16:20;-8;min;00251
1998-05-11;22:05;68;max;00251
1998-05-12;5:20;-35;min;00251
1998-05-12;11:45;46;max;00251
1998-05-12;16:45;3;min;00251
1998-05-12;22:30;70;max;00251
1998-05-13;5:35;-35;min;00251
1998-05-13;12:10;42;max;00251
1998-05-13;17:10;11;min;00251
1998-05-13;23:10;62;max;00251
1998-05-14;6:10;-33;min;00251
1998-05-14;13:10;50;max;00251
1998-05-14;17:55;8;min;00251
1998-05-14;23:40;63;max;00251
1998-05-15;6:55;-33;min;00251
1998-05-15;13:50;54;max;00251
1998-05-15;18:25;23;min;00251
1998-05-15;23:45;68;max;00251
1998-05-16;6:55;-21;min;00251
1998-05-16;14:25;50;max;00251
1998-05-16;20:05;25;min;00251
1998-05-17;0:20;47;max;00251
1998-05-17;7:40;-10;min;00251
1998-05-17;15:25;52;max;00251
1998-05-17;20:45;20;min;00251
